"AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.2358490566037736","5.502016269889033E-4","c__Gammaproteobacteria","0.4472573839662447","0.3563218390804598","58","3","f__Oxalobacteraceae","g__Massilia.1","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Gammaproteobacteria | Burkholderiales |  f__Oxalobacteraceae |  g__Massilia.1","86.41379310344827","0","58","Burkholderiales","0","p__Proteobacteria","0.9946500040839664","false","0","d__Bacteria |  p__Proteobacteria |  c__Gammaproteobacteria | Burkholderiales |  f__Oxalobacteraceae |  g__Massilia.1","30478","0.11491195891415994"
"2.190566037735849","9.061482186388251E-4","c__Abditibacteria","0.4565030146425495","0.30972417017297804","93","3","f__Abditibacteriaceae","g__Abditibacterium.1","false","d__Bacteria","d__Bacteria |  p__Abditibacteriota |  c__Abditibacteria | Abditibacteriales |  f__Abditibacteriaceae |  g__Abditibacterium.1","105.74193548387096","0","93","Abditibacteriales","0","p__Abditibacteriota","0.9948460344686759","false","0","d__Bacteria |  p__Abditibacteriota |  c__Abditibacteria | Abditibacteriales |  f__Abditibacteriaceae |  g__Abditibacterium.1","50124","0.138224752266498"
"2.0924528301886793","0.001471950853670926","c__Acidobacteriae","0.4779080252479711","0.36051151822963906","149","3","f__Bryobacteraceae","g__Bryobacter.3","false","d__Bacteria","d__Bacteria |  p__Acidobacteriota |  c__Acidobacteriae | Bryobacterales |  f__Bryobacteraceae |  g__Bryobacter.3","114.3489932885906","0","149","Bryobacterales","0","p__Acidobacteriota","0.9952707669688802","false","0","d__Bacteria |  p__Acidobacteriota |  c__Acidobacteriae | Bryobacterales |  f__Bryobacteraceae |  g__Bryobacter.3","97778","0.14065066825164896"
"2.1037735849056602","7.373034655667995E-4","c__Acidimicrobiia","0.4753363228699552","0.40834824090638044","130","3","f__Ilumatobacteraceae","g__Ilumatobacter.1","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | Microtrichales |  f__Ilumatobacteraceae |  g__Ilumatobacter.1","130.2153846153846","0","130","Microtrichales","0","p__Actinobacteriota","0.9952217593727027","false","0","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | Microtrichales |  f__Ilumatobacteraceae |  g__Ilumatobacter.1","57498","0.15879924953095684"
"2.180188679245283","8.652473573121236E-4","c__Actinobacteria","0.45867589787970575","0.42390942390942393","78","3","f__Geodermatophilaceae","g__Blastococcus.4","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Geodermatophilaceae |  g__Blastococcus.4","103.51282051282051","0","78","Frankiales","0","p__Actinobacteriota","0.9948909580985053","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Geodermatophilaceae |  g__Blastococcus.4","46604","0.13086323705792732"
"2.0858490566037737","0.0010756243340628207","c__Actinobacteria","0.4794210764360018","0.37609011627906974","129","3","f__Geodermatophilaceae","g__Geodermatophilus","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Geodermatophilaceae |  g__Geodermatophilus","116.64341085271317","0","129","Frankiales","0","p__Actinobacteriota","0.995299354733317","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Geodermatophilaceae |  g__Geodermatophilus","85994","0.13886120339608712"
"2.1235849056603775","0.0012186295166867554","c__Actinobacteria","0.4709018214127054","0.3376146788990826","110","3","f__Nakamurellaceae","g__Nakamurella","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Nakamurellaceae |  g__Nakamurella","99.46363636363637","0","110","Frankiales","0","p__Actinobacteriota","0.9951359960793923","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Frankiales |  f__Nakamurellaceae |  g__Nakamurella","73650","0.12144522144522145"
"1.9566037735849056","0.002777315408253942","c__Actinobacteria","0.5110896817743491","0.3317650413458797","168","3","f__Cellulomonadaceae","g__Cellulomonas.1","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micrococcales |  f__Cellulomonadaceae |  g__Cellulomonas.1","116.23214285714286","0","168","Micrococcales","0","p__Actinobacteriota","0.9958588581230091","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micrococcales |  f__Cellulomonadaceae |  g__Cellulomonas.1","167772","0.12391486445324398"
"2.017924528301887","0.0015099366367641873","c__Actinobacteria","0.4955586722767648","0.3604965315808689","166","3","f__Intrasporangiaceae","0.99254881","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micrococcales |  f__Intrasporangiaceae | 0.99254881","120.69277108433735","0","166","Micrococcales","0","p__Actinobacteriota","0.9955934003103815","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micrococcales |  f__Intrasporangiaceae | 0.99254881","119282","0.13793459552495696"
"1.9924528301886792","0.0027682918720256483","c__Actinobacteria","0.5018939393939394","0.3020030816640986","177","3","f__Micromonosporaceae","g__Actinoplanes","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micromonosporales |  f__Micromonosporaceae |  g__Actinoplanes","119.954802259887","0","177","Micromonosporales","0","p__Actinobacteriota","0.9957036674017806","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Micromonosporales |  f__Micromonosporaceae |  g__Actinoplanes","204274","0.13462940769908754"
