Full_name	Kingdom	Phylum	Class	Order	Family	Genus
k__Fungi | p__Ascomycota | c__Sordariomycetes | Boliniales | f__Boliniales_fam_Incertae_sedis | g__Junewangia.1	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Boliniales 	 f__Boliniales_fam_Incertae_sedis 	 g__Junewangia.1
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.50	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.50
k__Fungi | p__Ascomycota | c__Sordariomycetes | Hypocreales | f__Stachybotryaceae | g__Albifimbria.1	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Hypocreales 	 f__Stachybotryaceae 	 g__Albifimbria.1
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.57	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.57
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.59	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.59
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.53	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.53
k__Fungi | p__Chytridiomycota | c__Spizellomycetes | Spizellomycetales | f__Spizellomycetales_fam_Incertae_sedis | g__Spizellomycetales_gen_Incertae_sedis.17	k__Fungi 	 p__Chytridiomycota 	 c__Spizellomycetes 	 Spizellomycetales 	 f__Spizellomycetales_fam_Incertae_sedis 	 g__Spizellomycetales_gen_Incertae_sedis.17
k__Fungi | p__Ascomycota | c__Dothideomycetes | Tubeufiales | f__Tubeufiaceae | g__Tubeufiaceae_gen_Incertae_sedis.1	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Tubeufiales 	 f__Tubeufiaceae 	 g__Tubeufiaceae_gen_Incertae_sedis.1
k__Fungi | p__Chytridiomycota | c__Spizellomycetes | Spizellomycetales | f__Spizellomycetales_fam_Incertae_sedis | g__Spizellomycetales_gen_Incertae_sedis.19	k__Fungi 	 p__Chytridiomycota 	 c__Spizellomycetes 	 Spizellomycetales 	 f__Spizellomycetales_fam_Incertae_sedis 	 g__Spizellomycetales_gen_Incertae_sedis.19
k__Fungi | p__Chytridiomycota | c__Chytridiomycota_cls_Incertae_sedis | Chytridiomycota_ord_Incertae_sedis | f__Chytridiomycota_fam_Incertae_sedis | g__Chytridiomycota_gen_Incertae_sedis.3	k__Fungi 	 p__Chytridiomycota 	 c__Chytridiomycota_cls_Incertae_sedis 	 Chytridiomycota_ord_Incertae_sedis 	 f__Chytridiomycota_fam_Incertae_sedis 	 g__Chytridiomycota_gen_Incertae_sedis.3
