Factor	Core_group_value	edge	sig	Category	Kingdom
Iron	Caulobacterales_RA	0.05095372	0.013932943	Soil_properties	Bacteria
Iron	Solirubrobacterales_RA	-0.132425523	0.034428868	Soil_properties	Bacteria
Magnesium	Propionibacteriales_RA	0.136299175	2.57E-09	Soil_properties	Bacteria
Manganese	Burkholderiales_RA	0.219587754	0.000956899	Soil_properties	Bacteria
Manganese	Rhizobiales_RA	-0.228468446	0.000235135	Soil_properties	Bacteria
Manganese	Xylariales_RA	0.170095469	0.000292431	Soil_properties	Fungi
Organic_carbon	Helotiales_RA	0.056265551	0.008478071	Soil_properties	Fungi
Organic_carbon	Propionibacteriales_RA	0.119240611	0.000656617	Soil_properties	Bacteria
Organic_carbon	Solirubrobacterales_RA	0.017209873	0.048812964	Soil_properties	Bacteria
PCoA1_plant_communities	Chaetothyriales_RA	-0.067238856	0.027695152	Plant_diversity	Fungi
PCoA1_plant_communities	Hypocreales_RA	0.174656837	0.015424564	Plant_diversity	Fungi
PCoA1_plant_communities	Sphingomonadales_RA	0.089068949	0.037140587	Plant_diversity	Bacteria
PCoA1_plant_communities	Xylariales_RA	0.259753849	0.000937544	Plant_diversity	Fungi
PCoA2_plant_communities	Caulobacterales_RA	0.201140766	9.48E-05	Plant_diversity	Bacteria
PCoA3_plant_communities	Propionibacteriales_RA	0.161596716	0.002722715	Plant_diversity	Bacteria
PCoA3_plant_communities	Sphingomonadales_RA	0.203748387	0.000871508	Plant_diversity	Bacteria
pH	Burkholderiales_RA	-0.221806708	8.24E-05	Soil_properties	Bacteria
pH	Rhizobiales_RA	0.187957692	0.007226761	Soil_properties	Bacteria
Phosphore	Caulobacterales_RA	0.192932421	3.76E-07	Soil_properties	Bacteria
Phosphore	Propionibacteriales_RA	0.048288784	4.29E-07	Soil_properties	Bacteria
Plant_cover	Burkholderiales_RA	0.084123414	0.009268884	Plant_diversity	Bacteria
Plant_cover	Microtrichales_RA	0.111491884	0.004005577	Plant_diversity	Bacteria
Potassium	Caulobacterales_RA	0.118693196	0.010203649	Soil_properties	Bacteria
Potassium	Propionibacteriales_RA	0.031521847	2.71E-07	Soil_properties	Bacteria
Potassium	Xylariales_RA	0.08304688	0.006630203	Soil_properties	Fungi
Precipitation_Week1	Microtrichales_RA	-0.114076186	0.042311119	Climatic_conditions	Bacteria
Precipitation_Week1	Solirubrobacterales_RA	-0.199263193	0.020472685	Climatic_conditions	Bacteria
Precipitation_Week2	Solirubrobacterales_RA	0.118951141	0.049368365	Climatic_conditions	Bacteria
