Factor	Core_group	edge	sig	Category	Kingdom
Dewpoint_low_Week1	Hypocreales	-0.209616675	8.27E-05	Climatic_conditions	Fungi
Dewpoint_low_Week1	Microtrichales	0.085622771	0.025298594	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Xylariales	-0.169693692	0.006821424	Climatic_conditions	Fungi
Dewpoint_low_Week2	Caulobacterales	0.071765388	0.001970368	Climatic_conditions	Bacteria
Dewpoint_low_Week2	Hypocreales	-0.099330946	0.01144898	Climatic_conditions	Fungi
Dewpoint_low_Week3	Caulobacterales	-0.195977857	3.03E-05	Climatic_conditions	Bacteria
Dewpoint_low_Week3	Propionibacteriales	-0.17423069	0.000646419	Climatic_conditions	Bacteria
Humidity_avg_Week1	Propionibacteriales	-0.113687028	0.020525504	Climatic_conditions	Bacteria
Humidity_avg_Week1	Solirubrobacterales	-0.135231441	0.006836873	Climatic_conditions	Bacteria
Humidity_avg_Week2	Hypocreales	-0.10506114	0.011612947	Climatic_conditions	Fungi
Humidity_avg_Week2	Solirubrobacterales	0.218277212	9.58E-05	Climatic_conditions	Bacteria
Humidity_avg_Week3	Caulobacterales	-0.18191606	0.001942286	Climatic_conditions	Bacteria
Humidity_avg_Week3	Propionibacteriales	-0.139762596	0.002593175	Climatic_conditions	Bacteria
Humidity_high_Week1	Caulobacterales	-0.171675193	0.014262569	Climatic_conditions	Bacteria
Humidity_high_Week2	Hypocreales	-0.075643062	0.00710716	Climatic_conditions	Fungi
Humidity_high_Week3	Pleosporales	-0.111032642	0.0250021	Climatic_conditions	Fungi
Humidity_low_Week1	Caulobacterales	-0.172462794	0.007590449	Climatic_conditions	Bacteria
Humidity_low_Week1	Propionibacteriales	-0.056751214	0.032228218	Climatic_conditions	Bacteria
Humidity_low_Week1	Solirubrobacterales	-0.184696695	0.006273758	Climatic_conditions	Bacteria
Humidity_low_Week2	Hypocreales	-0.060324515	0.003941573	Climatic_conditions	Fungi
Humidity_low_Week2	Solirubrobacterales	0.162508858	0.007423925	Climatic_conditions	Bacteria
Humidity_low_Week3	Caulobacterales	-0.223191185	0.002741177	Climatic_conditions	Bacteria
Humidity_low_Week3	Propionibacteriales	-0.042798745	0.033113693	Climatic_conditions	Bacteria
Iron	Caulobacterales	0.05095372	0.013932943	Soil_properties	Bacteria
Iron	Solirubrobacterales	-0.132425523	0.034428868	Soil_properties	Bacteria
Magnesium	Propionibacteriales	0.136299175	2.57E-09	Soil_properties	Bacteria
Manganese	Burkholderiales	0.219587754	0.000956899	Soil_properties	Bacteria
Manganese	Rhizobiales	-0.228468446	0.000235135	Soil_properties	Bacteria
Manganese	Xylariales	0.170095469	0.000292431	Soil_properties	Fungi
Organic_carbon	Helotiales	0.056265551	0.008478071	Soil_properties	Fungi
Organic_carbon	Propionibacteriales	0.119240611	0.000656617	Soil_properties	Bacteria
Organic_carbon	Solirubrobacterales	0.017209873	0.048812964	Soil_properties	Bacteria
PCoA1_plant_communities	Chaetothyriales	-0.067238856	0.027695152	Plant_diversity	Fungi
PCoA1_plant_communities	Hypocreales	0.174656837	0.015424564	Plant_diversity	Fungi
PCoA1_plant_communities	Sphingomonadales	0.089068949	0.037140587	Plant_diversity	Bacteria
PCoA1_plant_communities	Xylariales	0.259753849	0.000937544	Plant_diversity	Fungi
PCoA2_plant_communities	Caulobacterales	0.201140766	9.48E-05	Plant_diversity	Bacteria
PCoA3_plant_communities	Propionibacteriales	0.161596716	0.002722715	Plant_diversity	Bacteria
