Var1	core	number_sites	mean	sd	se	Kingdom
ed834e5239584b407147f6a7b83d4c21	Helotiales	15	0.007934217	0.014699319	0.003795348	Fungi
1037fee8737d78e6ba49439b22c05501	Pleosporales	26	0.005754857	0.007138988	0.001400071	Fungi
b6829fab04ace344f56a11ebb8904216	Chaetothyriales	3	0.014025087	0.022472075	0.012974259	Fungi
2daa2ab83e63b9f6dc7638af1bc25ec5	Pleosporales	5	0.028169496	0.061235505	0.02738535	Fungi
5b69c9d8351b97984ef408c25cd164ef	Pleosporales	10	0.010571808	0.02982173	0.009430459	Fungi
3d0461ebec02c043ae809f801f3ac39b	Chaetothyriales	17	0.008145954	0.014740909	0.003575196	Fungi
2b335f66fe503bf1b7c6f666ffa48f84	Hypocreales	5	0.005599235	0.010937147	0.004891241	Fungi
2ee765de19a3ff95e3942e2e98dd530f	Hypocreales	26	0.00427835	0.004519359	0.000886319	Fungi
0e14b541516926a73cf9a0d757511637	Pleosporales	17	0.007103637	0.016737101	0.004059343	Fungi
9537bb921619137b9653607238563be8	Hypocreales	47	0.004610619	0.008892193	0.00129706	Fungi
e62d7552cca248002666a8e6fbfacd17	Pleosporales	7	0.010482847	0.01857629	0.007021178	Fungi
d10ef764b2e8ec99ed2bc802f45c99f0	Hypocreales	29	0.003289698	0.009851107	0.001829305	Fungi
f3351ecdc86b4bdb6f7038d78725c681	Helotiales	5	0.020376039	0.035610527	0.015925512	Fungi
12ef8fda58cb86e352a0e5f51120dd89	Helotiales	8	0.007045003	0.01765955	0.006243594	Fungi
95be534ebfdcdd493a6c96b65810636c	Pleosporales	8	0.033368231	0.045024081	0.015918417	Fungi
fefb83ceac2c68043e28b8f29664b011	Pleosporales	13	0.008098158	0.010971075	0.003042829	Fungi
2dffc43998ae7399b15b267ff882719c	Pleosporales	16	0.010451184	0.029560293	0.007390073	Fungi
1148f37c6a931626f72df85aed4d41a3	Chaetothyriales	3	0.025642131	0.032170063	0.018573394	Fungi
22fdbb5954bed96778a3dd138a242b9b	Chaetothyriales	8	0.013150645	0.027711686	0.00979756	Fungi
e2d1cf1d2f486e55d7342e1ec67f7fb8	Chaetothyriales	10	0.013011727	0.017947932	0.005675634	Fungi
184a28d8ee3118f0e6043afdb83eb3ef	Pleosporales	38	0.003538072	0.003319731	0.000538531	Fungi
fdfc844f32ef9ebb7080c8185381ccb5	Chaetothyriales	8	0.011593691	0.013702	0.004844388	Fungi
7cec736dc9d806469c2695064a9e9d27	Xylariales	6	0.011800532	0.027873997	0.011379512	Fungi
538d9579707400c0ddf4ffda9a047d88	Chaetothyriales	25	0.003585918	0.003872456	0.000774491	Fungi
1d36c244f292a3c347b6f184280233e4	Helotiales	47	0.002845174	0.003794035	0.000553417	Fungi
12da2a6675f47b6bb026356f85adea6e	Hypocreales	10	0.013779993	0.035845384	0.011335306	Fungi
0fae4a7ecb3b6be21a88ee741d4c82a6	Pleosporales	17	0.007463476	0.010623656	0.002576615	Fungi
8ef624f9eef58a84e72675885cb1c064	Pleosporales	55	0.003607745	0.007936396	0.001070143	Fungi
c4ca03f059e4fd477c0ff6ff7a306464	Chaetothyriales	33	0.004017105	0.004598596	0.000800513	Fungi
508b8adfe3ac4fb67bb211089a43dbe2	Pleosporales	52	0.002206065	0.004054664	0.000562281	Fungi
27567a9beb07865021bf0a4352683292	Chaetothyriales	4	0.015814397	0.022897086	0.011448543	Fungi
c33a3ddaca3488cf34a6b84401878380	Hypocreales	5	0.006035074	0.009425296	0.00421512	Fungi
98d9dd6e69833e96e7c2c1aed4fef732	Pleosporales	18	0.004899013	0.009927136	0.002339848	Fungi
342c5f15539d51f78354de9ff91f5991	Pleosporales	6	0.036756485	0.052496022	0.021431411	Fungi
feed181d14109a130bd00d475dbba558	Chaetothyriales	4	0.024026063	0.026588079	0.01329404	Fungi
ce6d914a83f40b953ee084f638361520	Pleosporales	23	0.004725221	0.00871771	0.001817768	Fungi
b24fd4e1da10e3fe48b0f20c647f5331	Hypocreales	4	0.009139459	0.014887621	0.007443811	Fungi
19ba1d06eaaea6993eca1c85b7e6ef02	Helotiales	4	0.029558038	0.051892181	0.02594609	Fungi
d5417a460c0601cf30aed8c9462c31b0	Hypocreales	68	0.001714693	0.003081972	0.000373744	Fungi
f406093c66967d7dbb69ae0055648006	Chaetothyriales	7	0.00893912	0.007651862	0.002892132	Fungi
faadc7859f6b7e53d83978e3d7bc95eb	Chaetothyriales	9	0.012356179	0.020877931	0.00695931	Fungi
