SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_C1_C7_F4.R2	ECOGEN2023_C1_C7_F5.R3	SurveyECOGEN2023_435	CHEI-A	Haute-Garonne	NA
ECOGEN2023_D1_D7_F4.R2	ECOGEN2023_D1_D7_F5.R3	SurveyECOGEN2023_436	MERV-A	Haute-Garonne	1
ECOGEN2023_E1_E7_F4.R2	ECOGEN2023_E1_E7_F5.R3	SurveyECOGEN2023_437	NAZA-A	Tarn-et-Garonne	1
ECOGEN2023_F1_F7_F4.R2	ECOGEN2023_F1_F7_F5.R3	SurveyECOGEN2023_438	CLAR-C	Haute-Garonne	3
ECOGEN2023_G1_G7_F4.R2	ECOGEN2023_G1_G7_F5.R3	SurveyECOGEN2023_439	SALE-A	Haute-Garonne	1
ECOGEN2023_D6_D12_F2.R1	ECOGEN2023_D6_D12_F2.R2	SurveyECOGEN2023_44	LABA-B	Haute-Garonne	NA
ECOGEN2023_H1_H7_F4.R2	ECOGEN2023_H1_H7_F5.R3	SurveyECOGEN2023_440	ANGE-B	Tarn	1
ECOGEN2023_A2_A8_F4.R2	ECOGEN2023_A2_A8_F5.R3	SurveyECOGEN2023_441	LECT-A	Gers	1
ECOGEN2023_B2_B8_F4.R2	ECOGEN2023_B2_B8_F5.R3	SurveyECOGEN2023_442	CLAR-B	Haute-Garonne	4
ECOGEN2023_C2_C8_F4.R2	ECOGEN2023_C2_C8_F5.R3	SurveyECOGEN2023_443	CAPE-A	Tarn	4
ECOGEN2023_D2_D8_F4.R2	ECOGEN2023_D2_D8_F5.R3	SurveyECOGEN2023_444	LABA-A	Haute-Garonne	1
ECOGEN2023_E2_E8_F4.R2	ECOGEN2023_E2_E8_F5.R3	SurveyECOGEN2023_445	CAST-A	Haute-Garonne	1
ECOGEN2023_F2_F8_F4.R2	ECOGEN2023_F2_F8_F5.R3	SurveyECOGEN2023_446	BESS-A	Aveyron	3
ECOGEN2023_G2_G8_F4.R2	ECOGEN2023_G2_G8_F5.R3	SurveyECOGEN2023_447	JUZET-A	Haute-Garonne	2
ECOGEN2023_H2_H8_F4.R2	ECOGEN2023_H2_H8_F5.R3	SurveyECOGEN2023_448	LECT-B	Gers	1
